repo,number,title,state,merged,created_at,relations,url,important,score,topics
erigontech/diagnostics,114,linter v2,merged,True,2025-04-25,author,https://github.com/erigontech/diagnostics/pull/114,0,0,
erigontech/diagnostics,97,drop golang 1.21 support,merged,True,2024-10-16,author,https://github.com/erigontech/diagnostics/pull/97,0,0,
erigontech/diagnostics,78,linter_up2,closed,False,2024-06-21,author,https://github.com/erigontech/diagnostics/pull/78,0,0,
erigontech/diagnostics,68,"Golangci lint up, step2",merged,True,2024-04-18,author,https://github.com/erigontech/diagnostics/pull/68,0,0,
erigontech/diagnostics,67,Golangci lint up,merged,True,2024-04-18,author,https://github.com/erigontech/diagnostics/pull/67,0,0,
erigontech/diagnostics,66,golangci-lint v1.57.2,merged,True,2024-04-18,author,https://github.com/erigontech/diagnostics/pull/66,0,0,
erigontech/diagnostics,57,linter 1.56.1,merged,True,2024-02-12,author,https://github.com/erigontech/diagnostics/pull/57,0,0,
erigontech/diagnostics,47,up github-ci versions,merged,True,2024-01-28,author,https://github.com/erigontech/diagnostics/pull/47,0,0,
erigontech/diagnostics,33,stream decode: add small delay before retry. exit main loop at ctrl+c,merged,True,2023-11-08,author,https://github.com/erigontech/diagnostics/pull/33,0,1,Compression / encoding
erigontech/diagnostics,32,add `logs` folder to .gitignore,merged,True,2023-11-08,author,https://github.com/erigontech/diagnostics/pull/32,0,0,
erigontech/diagnostics,31,linter: use same version in CI and local,merged,True,2023-11-08,author,https://github.com/erigontech/diagnostics/pull/31,0,0,
erigontech/diagnostics,30,run `go mod tidy`,merged,True,2023-11-08,author,https://github.com/erigontech/diagnostics/pull/30,0,0,
erigontech/diagnostics,29,"`make run-self-signed` fix, readme update about _bin",merged,True,2023-11-08,author,https://github.com/erigontech/diagnostics/pull/29,0,0,
erigontech/diagnostics,15,Code refactor part 1,merged,True,2023-05-22,reviewed-by,https://github.com/erigontech/diagnostics/pull/15,0,0,
erigontech/docs,34,remove `batchSize` from `performance.md` recommendations,merged,True,2025-09-12,author,https://github.com/erigontech/docs/pull/34,0,0,
erigontech/docs,32,3.1 Release,merged,True,2025-08-12,reviewed-by,https://github.com/erigontech/docs/pull/32,0,0,
erigontech/docs,11,simplify release section,closed,False,2025-03-07,author,https://github.com/erigontech/docs/pull/11,0,0,
erigontech/erigon,21917,db/seg: caller-managed SAIS scratch buffer; drop legacy patricia MatchFinder,open,False,2026-06-20,author,https://github.com/erigontech/erigon/pull/21917,1,3,State / domains / commitment
erigontech/erigon,21911,db/datastruct/btindex: shrink .bt in-memory node cache (uint64 offsets),merged,True,2026-06-19,author,https://github.com/erigontech/erigon/pull/21911,0,1,Indexing & perfect hashing
erigontech/erigon,21909,build(deps): bump golang.org/x/* and mark3labs/mcp-go,merged,True,2026-06-19,author,https://github.com/erigontech/erigon/pull/21909,0,0,
erigontech/erigon,21902,[3.5] rpc: cherry-pick fix base fee too low error code  (#21418),merged,True,2026-06-19,reviewed-by,https://github.com/erigontech/erigon/pull/21902,0,0,
erigontech/erigon,21897,"p2p, gointerfaces: reduce Sprintf and H256/H512/H2048 allocs (262→118 -55%)",open,False,2026-06-19,author,https://github.com/erigontech/erigon/pull/21897,0,0,
erigontech/erigon,21893,db/datastruct/btindex: EF-encode .bt pivot offsets ,merged,True,2026-06-19,reviewed-by,https://github.com/erigontech/erigon/pull/21893,1,2,Indexing & perfect hashing; Compression / encoding
erigontech/erigon,21892,execution/commitment: materialize collapse-sibling branch in toWitnessTrie,merged,True,2026-06-19,reviewed-by,https://github.com/erigontech/erigon/pull/21892,1,8,Isolation & transactions; State / domains / commitment
erigontech/erigon,21890,"docs: w25 prose fixes (release/3.5) — casing, EL acronym, polygon flag typo",merged,True,2026-06-18,reviewed-by,https://github.com/erigontech/erigon/pull/21890,0,0,
erigontech/erigon,21889,[r3.4] ChangeLog: v3.4.4 release notes,merged,True,2026-06-18,reviewed-by,https://github.com/erigontech/erigon/pull/21889,0,0,
erigontech/erigon,21881,execution/stagedsync: remove diaglib.Send calls,merged,True,2026-06-18,author,https://github.com/erigontech/erigon/pull/21881,1,5,Storage engine (MDBX/LMDB); ETL / staged sync / pruning
erigontech/erigon,21880,[wip] db: opt-in per-table warmup,open,False,2026-06-18,author+reviewed-by,https://github.com/erigontech/erigon/pull/21880,0,0,
